Id,SessionId,Timestamp,Latitude,Longitude,Speed,Level,Qual,CellID,NetworkTech,NetworkMode,LTERSSI,CGI,SERVINGTIME,BAND,Outage,RTT_ms,drive_id,Destination,common_s_m,common_bucket_index,common_bucket_center_m,bucket_name,is_handover
ID-1759931497992-675,session-633bed05,2025-10-08 15:51:37.993,48.2145133,17.0342517,123.38014526367188,-97.0,-15.0,2893866.0,4G,LTE,-83.0,231-01-21006-2893866,22036.0,1.0,False,53,1,Lozorno,548.1561387590224,1,750.0,a2,0
ID-1759931498998-676,session-633bed05,2025-10-08 15:51:38.999,48.2147917,17.034045,123.35236358642578,-97.0,-15.0,2893866.0,4G,LTE,-83.0,231-01-21006-2893866,23042.0,1.0,False,64,1,Lozorno,582.6620592607973,1,750.0,a2,0
ID-1759931500004-677,session-633bed05,2025-10-08 15:51:40.005,48.2150683,17.0338483,122.96322784423828,-97.0,-15.0,2893866.0,4G,LTE,-83.0,231-01-21006-2893866,24048.0,1.0,False,57,1,Lozorno,616.7201358344142,1,750.0,a2,0
ID-1759931501011-678,session-633bed05,2025-10-08 15:51:41.012,48.2153417,17.0336483,123.05217590332032,-97.0,-15.0,2893866.0,4G,LTE,-83.0,231-01-21006-2893866,25054.0,1.0,False,59,1,Lozorno,650.6131490851901,1,750.0,a2,0
ID-1759931502017-679,session-633bed05,2025-10-08 15:51:42.018,48.21561,17.0334433,121.56606903076172,-97.0,-15.0,2893866.0,4G,LTE,-83.0,231-01-21006-2893866,26060.0,1.0,False,52,1,Lozorno,684.1661886320354,1,750.0,a2,0
ID-1759931503022-680,session-633bed05,2025-10-08 15:51:43.022,48.2158817,17.0332533,122.21276550292968,-97.0,-15.0,2893866.0,4G,LTE,-83.0,231-01-21006-2893866,27065.0,1.0,False,58,1,Lozorno,717.4143619176018,1,750.0,a2,0
ID-1759931504023-681,session-633bed05,2025-10-08 15:51:44.024,48.2161483,17.03304,121.67354278564451,-97.0,-15.0,2893866.0,4G,LTE,-83.0,231-01-21006-2893866,28066.0,1.0,False,53,1,Lozorno,750.9160156726928,1,750.0,a2,0
ID-1759931505025-682,session-633bed05,2025-10-08 15:51:45.026,48.21642,17.0328317,122.5703842163086,-97.0,-15.0,2893866.0,4G,LTE,-83.0,231-01-21006-2893866,29068.0,1.0,False,61,1,Lozorno,784.8451047998539,1,750.0,a2,0
ID-1759931506027-683,session-633bed05,2025-10-08 15:51:46.028,48.216695,17.0326233,122.99473114013672,-97.0,-15.0,2893866.0,4G,LTE,-83.0,231-01-21006-2893866,30071.0,1.0,False,58,1,Lozorno,819.2445568839283,1,750.0,a2,0
ID-1759931507030-684,session-633bed05,2025-10-08 15:51:47.030,48.2169733,17.03241,123.45056762695312,-97.0,-15.0,2893866.0,4G,LTE,-83.0,231-01-21006-2893866,31073.0,1.0,False,57,1,Lozorno,853.9888782486967,1,750.0,a2,0
ID-1759931508032-685,session-633bed05,2025-10-08 15:51:48.032,48.2172467,17.0321867,123.99720611572266,-94.0,-13.0,2893866.0,4G,LTE,-81.0,231-01-21006-2893866,32075.0,1.0,False,56,1,Lozorno,888.6457498736662,1,750.0,a2,0
ID-1759931509034-686,session-633bed05,2025-10-08 15:51:49.034,48.2175217,17.0319633,124.00090026855467,-94.0,-13.0,2893866.0,4G,LTE,-81.0,231-01-21006-2893866,33077.0,1.0,False,58,1,Lozorno,923.5108951616965,1,750.0,a2,0
ID-1759931510036-687,session-633bed05,2025-10-08 15:51:50.036,48.2177917,17.0317517,126.08182067871094,-94.0,-13.0,2893866.0,4G,LTE,-81.0,231-01-21006-2893866,34079.0,1.0,False,67,1,Lozorno,957.297841783518,1,750.0,a2,0
ID-1759931511039-688,session-633bed05,2025-10-08 15:51:51.039,48.2180667,17.03152,127.5623794555664,-94.0,-13.0,2893866.0,4G,LTE,-81.0,231-01-21006-2893866,35082.0,1.0,False,59,1,Lozorno,992.3761814073288,1,750.0,a2,0
ID-1759931512042-689,session-633bed05,2025-10-08 15:51:52.042,48.2183467,17.0312867,129.15410614013672,-94.0,-13.0,2893866.0,4G,LTE,-81.0,231-01-21006-2893866,36085.0,1.0,False,71,1,Lozorno,1027.9931156379196,2,1250.0,a3,0
ID-1759931513045-690,session-633bed05,2025-10-08 15:51:53.046,48.2186367,17.0310517,130.59202423095704,-94.0,-13.0,2893866.0,4G,LTE,-81.0,231-01-21006-2893866,37088.0,1.0,False,53,1,Lozorno,1064.587452947682,2,1250.0,a3,0
ID-1759931514051-691,session-633bed05,2025-10-08 15:51:54.052,48.2189267,17.0308033,131.4555221557617,-94.0,-13.0,2893866.0,4G,LTE,-81.0,231-01-21006-2893866,38094.0,1.0,False,72,1,Lozorno,1101.7469206588771,2,1250.0,a3,0
ID-1759931515056-692,session-633bed05,2025-10-08 15:51:55.057,48.2192133,17.0305633,132.1003646850586,-94.0,-13.0,2893866.0,4G,LTE,-81.0,231-01-21006-2893866,39099.0,1.0,False,48,1,Lozorno,1138.2776950771058,2,1250.0,a3,0
ID-1759931516062-693,session-633bed05,2025-10-08 15:51:56.063,48.2195033,17.0303167,131.67973937988282,-94.0,-13.0,2893866.0,4G,LTE,-81.0,231-01-21006-2893866,40105.0,1.0,False,58,1,Lozorno,1175.214837586925,2,1250.0,a3,0
ID-1759931517068-694,session-633bed05,2025-10-08 15:51:57.069,48.2197917,17.0300783,129.86008758544924,-94.0,-13.0,2893866.0,4G,LTE,-81.0,231-01-21006-2893866,41111.0,1.0,False,56,1,Lozorno,1211.9663470007422,2,1250.0,a3,0
ID-1759931518075-695,session-633bed05,2025-10-08 15:51:58.076,48.22007,17.0298467,127.82920989990237,-94.0,-13.0,2893866.0,4G,LTE,-81.0,231-01-21006-2893866,42118.0,1.0,False,59,1,Lozorno,1247.375058982252,2,1250.0,a3,0
ID-1759931519082-696,session-633bed05,2025-10-08 15:51:59.083,48.2203417,17.0296167,125.73160400390626,-94.0,-13.0,2893866.0,4G,LTE,-81.0,231-01-21006-2893866,43125.0,1.0,False,59,1,Lozorno,1282.1259307910502,2,1250.0,a3,0
ID-1759931520086-697,session-633bed05,2025-10-08 15:52:00.087,48.2206133,17.02939,124.6235092163086,-94.0,-13.0,2893866.0,4G,LTE,-81.0,231-01-21006-2893866,44130.0,1.0,False,59,1,Lozorno,1316.588445883305,2,1250.0,a3,0
ID-1759931521091-698,session-633bed05,2025-10-08 15:52:01.091,48.220885,17.0291633,124.76248626708984,-94.0,-13.0,2893866.0,4G,LTE,-81.0,231-01-21006-2893866,45134.0,1.0,False,66,1,Lozorno,1351.2284475804004,2,1250.0,a3,0
ID-1759931522095-699,session-633bed05,2025-10-08 15:52:02.096,48.2211633,17.0289383,125.17014770507812,-94.0,-13.0,2893866.0,4G,LTE,-81.0,231-01-21006-2893866,46138.0,1.0,False,64,1,Lozorno,1386.3644907410842,2,1250.0,a3,0
ID-1759931523100-700,session-633bed05,2025-10-08 15:52:03.100,48.221445,17.028715,125.92431793212891,-94.0,-13.0,2893866.0,4G,LTE,-81.0,231-01-21006-2893866,47143.0,1.0,False,46,1,Lozorno,1421.7173922705522,2,1250.0,a3,0
ID-1759931524103-701,session-633bed05,2025-10-08 15:52:04.103,48.221715,17.0284867,126.00585021972655,-94.0,-13.0,2893866.0,4G,LTE,-81.0,231-01-21006-2893866,48146.0,1.0,False,62,1,Lozorno,1456.1524908649037,2,1250.0,a3,0
ID-1759931525107-702,session-633bed05,2025-10-08 15:52:05.109,48.2219967,17.0282567,126.76002044677736,-94.0,-13.0,2893866.0,4G,LTE,-81.0,231-01-21006-2893866,49151.0,1.0,False,61,1,Lozorno,1491.886073544572,2,1250.0,a3,0
ID-1759931526114-703,session-633bed05,2025-10-08 15:52:06.115,48.2222767,17.0280333,127.8662612915039,-94.0,-13.0,2893866.0,4G,LTE,-81.0,231-01-21006-2893866,50157.0,1.0,False,61,1,Lozorno,1527.1326856540984,3,1750.0,a4,0
ID-1759931527120-704,session-633bed05,2025-10-08 15:52:07.121,48.2225567,17.0278033,127.49566497802736,-94.0,-13.0,2893866.0,4G,LTE,-81.0,231-01-21006-2893866,51163.0,1.0,False,39,1,Lozorno,1562.49696362102,3,1750.0,a4,0
ID-1759931528125-705,session-633bed05,2025-10-08 15:52:08.126,48.2228367,17.0275817,127.51604461669922,-98.0,-12.0,2893865.0,4G,LTE,-87.0,231-01-21006-2893865,918.0,1.0,False,56,1,Lozorno,1597.6849635516912,3,1750.0,a4,1
ID-1759931529131-706,session-633bed05,2025-10-08 15:52:09.132,48.2231183,17.0273567,127.86255340576172,-98.0,-12.0,2893865.0,4G,LTE,-87.0,231-01-21006-2893865,1924.0,1.0,False,62,1,Lozorno,1633.2609904499368,3,1750.0,a4,0
ID-1759931530136-707,session-633bed05,2025-10-08 15:52:10.136,48.223405,17.0271333,127.7421157836914,-98.0,-12.0,2893865.0,4G,LTE,-87.0,231-01-21006-2893865,2929.0,1.0,False,71,1,Lozorno,1669.1535631259665,3,1750.0,a4,0
ID-1759931531138-708,session-633bed05,2025-10-08 15:52:11.138,48.22369,17.026915,127.71061248779296,-98.0,-12.0,2893865.0,4G,LTE,-87.0,231-01-21006-2893865,3931.0,1.0,False,84,1,Lozorno,1704.8209072134418,3,1750.0,a4,0
ID-1759931532139-709,session-633bed05,2025-10-08 15:52:12.140,48.2239717,17.0266933,127.6309341430664,-98.0,-12.0,2893865.0,4G,LTE,-87.0,231-01-21006-2893865,4932.0,1.0,False,74,1,Lozorno,1740.0018876268714,3,1750.0,a4,0
ID-1759931533141-710,session-633bed05,2025-10-08 15:52:13.141,48.22426,17.02648,127.58832092285157,-98.0,-12.0,2893865.0,4G,LTE,-87.0,231-01-21006-2893865,5934.0,1.0,False,60,1,Lozorno,1775.862641951202,3,1750.0,a4,0
ID-1759931534143-711,session-633bed05,2025-10-08 15:52:14.143,48.224545,17.02626,127.19733123779297,-98.0,-12.0,2893865.0,4G,LTE,-87.0,231-01-21006-2893865,6936.0,1.0,False,83,1,Lozorno,1811.4262967168272,3,1750.0,a4,0
ID-1759931535145-712,session-633bed05,2025-10-08 15:52:15.146,48.2248233,17.0260383,127.1788055419922,-98.0,-12.0,2893865.0,4G,LTE,-87.0,231-01-21006-2893865,7939.0,1.0,False,66,1,Lozorno,1846.563341497678,3,1750.0,a4,0
ID-1759931536150-713,session-633bed05,2025-10-08 15:52:16.151,48.22511,17.0258267,127.25292205810548,-98.0,-12.0,2893865.0,4G,LTE,-87.0,231-01-21006-2893865,8944.0,1.0,False,51,1,Lozorno,1882.061153018354,3,1750.0,a4,0
ID-1759931537153-714,session-633bed05,2025-10-08 15:52:17.154,48.2253983,17.0256217,127.76434936523438,-97.0,-11.0,2626089.0,4G,LTE,-85.0,231-01-21006-2626089,909.0,1.0,False,54,1,Lozorno,1917.451452692135,3,1750.0,a4,1
ID-1759931538157-715,session-633bed05,2025-10-08 15:52:18.158,48.2256883,17.0254117,127.4549057006836,-97.0,-11.0,2626089.0,4G,LTE,-85.0,231-01-21006-2626089,1914.0,1.0,False,66,1,Lozorno,1953.2672864918068,3,1750.0,a4,0
ID-1759931539163-716,session-633bed05,2025-10-08 15:52:19.164,48.2259717,17.0252183,127.33630828857422,-97.0,-11.0,2626089.0,4G,LTE,-85.0,231-01-21006-2626089,2919.0,1.0,False,66,1,Lozorno,1987.8189199931655,3,1750.0,a4,0
ID-1759931540169-717,session-633bed05,2025-10-08 15:52:20.170,48.2262617,17.0250217,127.2899871826172,-97.0,-11.0,2626089.0,4G,LTE,-85.0,231-01-21006-2626089,3925.0,1.0,False,63,1,Lozorno,2023.2141736673984,4,2250.0,a5,0
ID-1759931541175-718,session-633bed05,2025-10-08 15:52:21.176,48.2265483,17.0248233,126.97126007080078,-97.0,-11.0,2626089.0,4G,LTE,-85.0,231-01-21006-2626089,4932.0,1.0,False,107,1,Lozorno,2058.2784831796075,4,2250.0,a5,0
ID-1759931542181-719,session-633bed05,2025-10-08 15:52:22.181,48.226835,17.0246267,126.952734375,-97.0,-11.0,2626089.0,4G,LTE,-85.0,231-01-21006-2626089,5937.0,1.0,False,35,1,Lozorno,2093.345534650576,4,2250.0,a5,0
ID-1759931543182-720,session-633bed05,2025-10-08 15:52:23.183,48.2271183,17.024435,126.53951110839844,-96.0,-11.0,2911019.0,4G,LTE,-85.0,231-01-21006-2911019,910.0,1.0,False,48,1,Lozorno,2127.884104800512,4,2250.0,a5,1
ID-1759931544185-721,session-633bed05,2025-10-08 15:52:24.186,48.2273967,17.02424,119.97248840332033,-96.0,-11.0,2911019.0,4G,LTE,-85.0,231-01-21006-2911019,1912.0,1.0,False,56,1,Lozorno,2162.0540639974265,4,2250.0,a5,0
ID-1759931545190-722,session-633bed05,2025-10-08 15:52:25.191,48.2276683,17.0240533,118.48081970214844,-96.0,-11.0,2911019.0,4G,LTE,-85.0,231-01-21006-2911019,2918.0,1.0,False,48,1,Lozorno,2195.285726536657,4,2250.0,a5,0
ID-1759931546195-723,session-633bed05,2025-10-08 15:52:26.196,48.227935,17.0238733,117.39866638183594,-96.0,-11.0,2911019.0,4G,LTE,-85.0,231-01-21006-2911019,3922.0,1.0,False,58,1,Lozorno,2227.801126231509,4,2250.0,a5,0
ID-1759931547198-724,session-633bed05,2025-10-08 15:52:27.199,48.2284617,17.0234917,118.28625183105468,-96.0,-11.0,2911019.0,4G,LTE,-85.0,231-01-21006-2911019,4926.0,1.0,False,42,1,Lozorno,2292.8448373332917,4,2250.0,a5,0
ID-1759931548203-725,session-633bed05,2025-10-08 15:52:28.204,48.2284617,17.0234917,118.28625183105468,-96.0,-11.0,2911019.0,4G,LTE,-85.0,231-01-21006-2911019,5931.0,1.0,False,57,1,Lozorno,2292.8448373332917,4,2250.0,a5,0
ID-1759931549206-726,session-633bed05,2025-10-08 15:52:29.207,48.229,17.0231283,120.40979919433596,-97.0,-11.0,2626089.0,4G,LTE,-85.0,231-01-21006-2626089,905.0,1.0,False,48,1,Lozorno,2358.4439129054017,4,2250.0,a5,1
ID-1759931550208-727,session-633bed05,2025-10-08 15:52:30.209,48.2292717,17.0229417,120.86007385253906,-97.0,-11.0,2626089.0,4G,LTE,-85.0,231-01-21006-2626089,1907.0,1.0,False,56,1,Lozorno,2391.6962111668586,4,2250.0,a5,0
ID-1759931551212-728,session-633bed05,2025-10-08 15:52:31.213,48.2292717,17.0229417,120.86007385253906,-97.0,-11.0,2626089.0,4G,LTE,-85.0,231-01-21006-2626089,2911.0,1.0,False,55,1,Lozorno,2391.6962111668586,4,2250.0,a5,0
ID-1759931552216-729,session-633bed05,2025-10-08 15:52:32.216,48.2298317,17.0225667,123.40794067382812,-97.0,-11.0,2626089.0,4G,LTE,-85.0,231-01-21006-2626089,3915.0,1.0,False,57,1,Lozorno,2459.8695458841034,4,2250.0,a5,0
ID-1759931553218-730,session-633bed05,2025-10-08 15:52:33.219,48.2301117,17.0223833,123.98052062988282,-97.0,-11.0,2626089.0,4G,LTE,-85.0,231-01-21006-2626089,4917.0,1.0,False,53,1,Lozorno,2493.8687664868667,4,2250.0,a5,0
ID-1759931554224-731,session-633bed05,2025-10-08 15:52:34.225,48.2303933,17.0221917,123.96570281982422,-97.0,-11.0,2626089.0,4G,LTE,-85.0,231-01-21006-2626089,5923.0,1.0,False,57,1,Lozorno,2528.225330646897,5,2750.0,a6,0
ID-1759931555231-732,session-633bed05,2025-10-08 15:52:35.232,48.230675,17.022,124.07873840332032,-97.0,-11.0,2626089.0,4G,LTE,-85.0,231-01-21006-2626089,6930.0,1.0,False,56,1,Lozorno,2562.5947991200906,5,2750.0,a6,0
ID-1759931556237-733,session-633bed05,2025-10-08 15:52:36.238,48.2309533,17.0218117,124.18806610107424,-97.0,-11.0,2626089.0,4G,LTE,-85.0,231-01-21006-2626089,7936.0,1.0,False,49,1,Lozorno,2596.5441220470425,5,2750.0,a6,0
ID-1759931557243-734,session-633bed05,2025-10-08 15:52:37.244,48.2312367,17.0216183,124.07503051757811,-97.0,-11.0,2626089.0,4G,LTE,-85.0,231-01-21006-2626089,8942.0,1.0,False,56,1,Lozorno,2631.0799020160407,5,2750.0,a6,0
ID-1759931558249-735,session-633bed05,2025-10-08 15:52:38.250,48.2315217,17.02143,123.38199920654296,-97.0,-11.0,2626089.0,4G,LTE,-85.0,231-01-21006-2626089,9948.0,1.0,False,65,1,Lozorno,2665.6497392490696,5,2750.0,a6,0
ID-1759931559255-736,session-633bed05,2025-10-08 15:52:39.256,48.231805,17.0212533,123.05032196044922,-97.0,-11.0,2626089.0,4G,LTE,-85.0,231-01-21006-2626089,10954.0,1.0,False,84,1,Lozorno,2699.7806814179703,5,2750.0,a6,0
ID-1759931560261-737,session-633bed05,2025-10-08 15:52:40.262,48.2320867,17.02107,123.1818832397461,-97.0,-11.0,2626089.0,4G,LTE,-85.0,231-01-21006-2626089,11961.0,1.0,False,61,1,Lozorno,2733.9159898186845,5,2750.0,a6,0
ID-1759931561267-738,session-633bed05,2025-10-08 15:52:41.268,48.2323633,17.0208917,121.26217346191406,-97.0,-11.0,2626089.0,4G,LTE,-85.0,231-01-21006-2626089,12966.0,1.0,False,102,1,Lozorno,2767.502614025123,5,2750.0,a6,0
ID-1759931562272-739,session-633bed05,2025-10-08 15:52:42.272,48.2326417,17.0207283,119.83907318115234,-97.0,-11.0,2626089.0,4G,LTE,-85.0,231-01-21006-2626089,13971.0,1.0,False,50,1,Lozorno,2800.570381064489,5,2750.0,a6,0
ID-1759931563275-740,session-633bed05,2025-10-08 15:52:43.276,48.2329233,17.0205533,119.54630126953126,-97.0,-11.0,2626089.0,4G,LTE,-85.0,231-01-21006-2626089,14974.0,1.0,False,58,1,Lozorno,2834.426955533118,5,2750.0,a6,0
ID-1759931564280-741,session-633bed05,2025-10-08 15:52:44.282,48.2332067,17.0203883,120.835986328125,-97.0,-11.0,2626089.0,4G,LTE,-85.0,231-01-21006-2626089,15980.0,1.0,False,56,1,Lozorno,2868.43734912713,5,2750.0,a6,0
ID-1759931565287-742,session-633bed05,2025-10-08 15:52:45.288,48.2334867,17.0202167,123.10405883789063,-97.0,-11.0,2626089.0,4G,LTE,-85.0,231-01-21006-2626089,16986.0,1.0,False,51,1,Lozorno,2901.883490400732,5,2750.0,a6,0
ID-1759931566292-743,session-633bed05,2025-10-08 15:52:46.293,48.2337717,17.02005,124.02869567871096,-97.0,-11.0,2626089.0,4G,LTE,-85.0,231-01-21006-2626089,17992.0,1.0,False,62,1,Lozorno,2935.8537035731883,5,2750.0,a6,0
ID-1759931567296-744,session-633bed05,2025-10-08 15:52:47.297,48.2340567,17.01988,124.51788940429688,-97.0,-11.0,2626089.0,4G,LTE,-85.0,231-01-21006-2626089,18995.0,1.0,False,71,1,Lozorno,2970.005564306931,5,2750.0,a6,0
ID-1759931568301-745,session-633bed05,2025-10-08 15:52:48.303,48.2343517,17.0197117,124.86439819335938,-97.0,-11.0,2626089.0,4G,LTE,-85.0,231-01-21006-2626089,20001.0,1.0,False,65,1,Lozorno,3004.970559626282,6,3250.0,a7,0
ID-1759931569307-746,session-633bed05,2025-10-08 15:52:49.308,48.2346417,17.0195467,125.51480255126954,-97.0,-11.0,2626089.0,4G,LTE,-85.0,231-01-21006-2626089,21006.0,1.0,False,61,1,Lozorno,3039.739856668524,6,3250.0,a7,0
ID-1759931570313-747,session-633bed05,2025-10-08 15:52:50.314,48.23493,17.0193783,125.60560455322266,-100.0,-12.0,2626089.0,4G,LTE,-89.0,231-01-21006-2626089,22012.0,1.0,False,56,1,Lozorno,3074.081988085802,6,3250.0,a7,0
ID-1759931571319-748,session-633bed05,2025-10-08 15:52:51.321,48.23522,17.0192067,125.67786712646485,-100.0,-12.0,2626089.0,4G,LTE,-89.0,231-01-21006-2626089,23019.0,1.0,False,58,1,Lozorno,3108.505680270448,6,3250.0,a7,0
ID-1759931572326-749,session-633bed05,2025-10-08 15:52:52.327,48.235515,17.0190467,126.28009643554688,-100.0,-12.0,2626089.0,4G,LTE,-89.0,231-01-21006-2626089,24025.0,1.0,False,65,1,Lozorno,3143.450757383634,6,3250.0,a7,0
ID-1759931573331-750,session-633bed05,2025-10-08 15:52:53.332,48.235805,17.0188767,125.91690216064454,-100.0,-12.0,2626089.0,4G,LTE,-89.0,231-01-21006-2626089,25030.0,1.0,False,62,1,Lozorno,3178.0344172997648,6,3250.0,a7,0
ID-1759931574337-751,session-633bed05,2025-10-08 15:52:54.338,48.236095,17.018715,126.34495697021484,-100.0,-12.0,2626089.0,4G,LTE,-89.0,231-01-21006-2626089,26036.0,1.0,False,43,1,Lozorno,3212.408196790308,6,3250.0,a7,0
ID-1759931575343-752,session-633bed05,2025-10-08 15:52:55.344,48.2363983,17.018555,126.45983276367188,-100.0,-12.0,2626089.0,4G,LTE,-89.0,231-01-21006-2626089,27043.0,1.0,False,57,1,Lozorno,3248.2787695723346,6,3250.0,a7,0
ID-1759931576349-753,session-633bed05,2025-10-08 15:52:56.350,48.2367067,17.0184067,126.78041381835938,-95.0,-11.0,2935339.0,4G,LTE,-85.0,231-01-21006-2935339,917.0,1.0,False,85,1,Lozorno,3284.190542119985,6,3250.0,a7,1
ID-1759931577355-754,session-633bed05,2025-10-08 15:52:57.356,48.2370117,17.01826,126.66552429199218,-95.0,-11.0,2935339.0,4G,LTE,-85.0,231-01-21006-2935339,1922.0,1.0,False,48,1,Lozorno,3319.743900689873,6,3250.0,a7,0
ID-1759931578361-755,session-633bed05,2025-10-08 15:52:58.362,48.2373133,17.0181067,126.63216705322266,-95.0,-11.0,2935339.0,4G,LTE,-85.0,231-01-21006-2935339,2928.0,1.0,False,59,1,Lozorno,3355.146733195608,6,3250.0,a7,0
ID-1759931579367-756,session-633bed05,2025-10-08 15:52:59.368,48.2376133,17.0179517,126.64514465332032,-95.0,-11.0,2935339.0,4G,LTE,-85.0,231-01-21006-2935339,3934.0,1.0,False,59,1,Lozorno,3390.4344018113648,6,3250.0,a7,0
ID-1759931580373-757,session-633bed05,2025-10-08 15:53:00.374,48.2379117,17.017795,126.96015014648438,-95.0,-11.0,2935339.0,4G,LTE,-85.0,231-01-21006-2935339,4940.0,1.0,False,55,1,Lozorno,3425.5851744296783,6,3250.0,a7,0
ID-1759931581379-758,session-633bed05,2025-10-08 15:53:01.380,48.2382083,17.0176417,126.64698486328123,-95.0,-11.0,2935339.0,4G,LTE,-85.0,231-01-21006-2935339,5946.0,1.0,False,60,1,Lozorno,3460.491907996417,6,3250.0,a7,0
ID-1759931582384-759,session-633bed05,2025-10-08 15:53:02.385,48.2385133,17.0175,126.70072174072266,-95.0,-11.0,2935339.0,4G,LTE,-85.0,231-01-21006-2935339,6952.0,1.0,False,55,1,Lozorno,3495.983822709446,6,3250.0,a7,0
ID-1759931583390-760,session-633bed05,2025-10-08 15:53:03.390,48.2388167,17.017355,126.78225402832032,-95.0,-11.0,2935339.0,4G,LTE,-85.0,231-01-21006-2935339,7957.0,1.0,False,53,1,Lozorno,3531.3755253994927,7,3750.0,a8,0
ID-1759931584394-761,session-633bed05,2025-10-08 15:53:04.394,48.2391217,17.0172083,126.7192611694336,-95.0,-11.0,2935339.0,4G,LTE,-85.0,231-01-21006-2935339,8961.0,1.0,False,67,1,Lozorno,3567.0041494181564,7,3750.0,a8,0
ID-1759931585396-762,session-633bed05,2025-10-08 15:53:05.396,48.2394267,17.0170633,126.63772888183594,-95.0,-11.0,2935339.0,4G,LTE,-85.0,231-01-21006-2935339,9963.0,1.0,False,63,1,Lozorno,3602.59466157087,7,3750.0,a8,0
